# id X Y type ready_time pair_id
1 16.91 12.04 P 0 2
2 19.5 10.59 D 237 0
3 14.06 3.67 DL 0 8
4 17.94 13.97 D 144 0
5 4.77 17.91 D 184 0
6 9.79 12.35 D 697 0
7 16.09 2.24 D 647 0
8 14.78 7.87 D 335 0
9 16.34 14.62 D 42 0
10 8.42 1.02 P 0 8
11 13.71 15.85 D 690 0
12 8.97 15.8 D 793 0
13 16.31 6.4 D 306 0
14 14.09 14.78 DL 0 10
15 15.86 18.35 D 653 0
16 12.41 3.92 D 583 0
17 7.16 2.17 D 414 0
18 15.12 19.54 D 308 0
19 10.58 8.15 D 535 0
20 8.48 2.24 D 855 0
21 5.91 12.62 D 354 0
22 19.52 15.87 D 552 0
23 12.41 0.35 D 622 0
24 13.78 3.88 P 0 5
25 2.2 5.97 DL 0 3
26 6.66 9.36 D 59 0
27 11.89 0.13 DL 0 7
28 8.26 0.97 D 147 0
29 0.79 18.56 D 717 0
30 14.92 2.06 D 29 0
31 13.19 16.04 P 0 1
32 10.48 17.25 D 69 0
33 16.86 1.79 D 530 0
34 5.05 7.5 D 751 0
35 10.31 17.04 DL 0 1
36 19.93 2.42 D 634 0
37 17.13 11.63 D 818 0
38 3.3 16.96 D 145 0
39 17.69 2.29 DL 0 4
40 13.54 18.44 D 704 0
41 5.1 11.99 P 0 6
42 14.19 9.5 D 420 0
43 15.89 17.29 D 133 0
44 8.15 12.7 D 172 0
45 13.6 8.39 DL 0 5
46 16.99 3.32 DL 0 2
47 18.09 15.37 D 81 0
48 6.02 18.25 D 229 0
49 12.87 13.21 D 25 0
50 5.66 11.11 D 854 0
51 8.0 8.24 D 308 0
52 5.22 6.13 D 216 0
53 7.32 8.81 DL 0 6
54 16.56 6.89 D 793 0
55 5.05 14.54 D 48 0
56 2.01 19.84 D 750 0
57 19.25 19.87 D 682 0
58 13.35 16.92 D 660 0
59 17.39 0.12 D 40 0
60 16.94 7.14 D 575 0
61 2.6 11.37 D 464 0
62 3.65 12.32 D 861 0
63 8.53 8.9 D 387 0
64 1.9 9.1 D 736 0
65 15.13 13.32 D 101 0
66 6.86 5.91 D 75 0
67 8.29 8.22 D 855 0
68 9.8 11.64 D 424 0
69 2.05 18.85 D 467 0
70 17.53 0.9 D 536 0
71 3.71 17.35 D 787 0
72 14.04 9.53 D 349 0
73 9.42 6.7 P 0 3
74 13.83 3.98 D 699 0
75 10.66 13.18 P 0 10
76 9.57 17.9 D 268 0
77 10.42 4.74 D 824 0
78 5.54 0.37 D 801 0
79 11.96 11.77 D 280 0
80 12.66 11.54 D 96 0
81 12.88 15.52 D 406 0
82 0.98 13.47 D 327 0
83 12.43 9.61 P 0 9
84 1.13 16.76 D 673 0
85 0.95 10.46 D 870 0
86 17.38 16.61 D 547 0
87 6.94 13.5 DL 0 9
88 2.18 6.2 D 206 0
89 9.54 3.89 D 21 0
90 4.1 9.56 P 0 4
91 1.86 12.8 D 751 0
92 19.68 11.42 D 873 0
93 14.3 3.2 D 3 0
94 13.19 17.29 D 831 0
95 15.75 12.89 D 31 0
96 17.82 13.48 D 376 0
97 5.67 16.57 D 548 0
98 16.74 13.67 D 247 0
99 10.0 13.71 P 0 7
100 3.27 16.61 D 533 0
