# id X Y type ready_time pair_id
1 15.36 12.78 D 118 0
2 5.35 13.55 D 641 0
3 0.53 14.61 P 0 2
4 18.55 8.99 D 508 0
5 3.87 14.02 D 777 0
6 5.36 4.47 D 154 0
7 19.03 6.94 D 708 0
8 5.11 11.69 D 490 0
9 3.62 11.58 D 242 0
10 4.95 3.7 D 123 0
11 10.39 5.77 D 349 0
12 0.31 7.08 D 65 0
13 9.44 1.85 D 380 0
14 3.55 1.58 D 516 0
15 19.2 13.1 D 325 0
16 19.08 1.32 D 269 0
17 13.8 0.61 D 667 0
18 13.6 18.98 P 0 1
19 10.75 15.1 P 0 3
20 16.72 2.97 D 465 0
21 4.12 4.17 D 699 0
22 8.92 6.43 D 397 0
23 15.88 2.25 D 383 0
24 11.27 16.25 D 769 0
25 10.82 17.77 DL 0 5
26 4.72 0.89 D 689 0
27 18.69 0.48 P 0 4
28 15.34 6.21 D 263 0
29 11.78 9.7 D 133 0
30 6.22 0.07 DL 0 1
31 15.34 14.43 D 138 0
32 17.05 18.59 D 754 0
33 3.87 15.29 D 437 0
34 7.81 19.56 D 343 0
35 17.31 9.3 DL 0 3
36 14.22 1.7 D 30 0
37 17.37 19.41 D 607 0
38 9.8 2.7 D 784 0
39 17.09 2.44 D 430 0
40 11.53 3.06 P 0 5
41 13.8 11.4 D 372 0
42 4.56 18.4 DL 0 4
43 19.68 1.32 D 148 0
44 15.0 18.37 DL 0 2
45 13.06 11.17 D 105 0
46 9.19 6.86 D 275 0
47 7.98 8.77 D 67 0
48 3.22 15.3 D 669 0
49 0.47 10.38 D 563 0
50 6.45 18.36 D 607 0
