# id X Y type ready_time pair_id
1 1.57 7.4 DL 0 3
2 15.95 18.51 P 0 4
3 16.56 10.05 D 506 0
4 4.24 12.62 D 535 0
5 13.3 5.66 D 586 0
6 19.63 19.8 D 496 0
7 12.14 5.09 DL 0 7
8 0.79 18.35 D 495 0
9 0.92 18.83 P 0 3
10 18.87 3.33 D 832 0
11 16.87 10.98 P 0 5
12 2.75 10.39 D 389 0
13 6.86 9.77 D 785 0
14 17.43 10.36 DL 0 1
15 6.39 8.47 D 403 0
16 8.96 8.21 D 322 0
17 7.66 19.49 D 208 0
18 9.27 11.39 D 504 0
19 1.88 4.66 D 980 0
20 9.84 5.75 D 271 0
21 2.52 14.94 P 0 2
22 4.47 10.32 D 158 0
23 2.35 13.99 D 96 0
24 8.34 16.05 D 321 0
25 9.45 11.76 D 457 0
26 3.01 8.42 D 306 0
27 5.42 16.72 D 341 0
28 15.18 8.83 D 58 0
29 12.08 8.1 D 510 0
30 10.82 5.48 D 242 0
31 2.34 13.5 D 371 0
32 15.63 0.99 D 749 0
33 5.53 10.99 D 675 0
34 17.77 0.93 D 874 0
35 17.86 0.14 D 574 0
36 9.67 5.17 D 426 0
37 14.36 1.6 DL 0 2
38 1.68 2.34 D 729 0
39 10.83 11.12 D 54 0
40 12.41 6.39 P 0 8
41 0.82 10.58 D 685 0
42 8.18 14.02 DL 0 5
43 16.06 5.93 D 175 0
44 6.87 1.9 DL 0 4
45 6.83 0.0 D 826 0
46 0.63 3.15 D 977 0
47 13.22 16.81 D 42 0
48 5.94 4.36 DL 0 8
49 17.5 12.97 P 0 7
50 19.67 6.18 D 20 0
51 13.52 1.99 D 680 0
52 5.6 13.28 D 319 0
53 19.81 17.56 D 985 0
54 16.76 2.92 D 333 0
55 19.75 13.03 D 342 0
56 16.23 4.94 P 0 6
57 14.28 16.12 D 407 0
58 11.27 11.03 D 535 0
59 0.53 10.19 D 340 0
60 4.01 15.81 D 758 0
61 3.17 16.4 D 974 0
62 5.5 18.41 D 185 0
63 4.4 4.7 D 18 0
64 19.47 19.54 D 26 0
65 3.14 5.87 DL 0 6
66 17.12 16.05 D 355 0
67 4.41 11.63 D 11 0
68 14.89 2.67 D 604 0
69 15.72 15.4 D 103 0
70 13.41 19.05 D 129 0
71 9.0 2.31 D 722 0
72 17.8 8.98 D 91 0
73 13.76 3.88 P 0 1
74 16.91 8.2 D 271 0
75 19.85 10.11 D 45 0
