# id X Y type ready_time pair_id
1 0.73 6.07 D 225 0
2 12.85 7.9 D 163 0
3 0.33 11.74 D 193 0
4 7.27 12.74 D 186 0
5 19.42 17.93 P 0 2
6 8.96 8.08 D 472 0
7 9.48 11.1 D 38 0
8 7.54 12.96 D 194 0
9 1.49 5.16 D 165 0
10 5.58 10.12 DL 0 3
11 17.89 14.04 D 349 0
12 0.84 13.72 D 153 0
13 19.45 15.83 D 225 0
14 17.02 17.69 DL 0 2
15 2.89 5.5 D 520 0
16 9.56 11.71 D 204 0
17 14.99 8.48 P 0 1
18 3.16 19.63 D 284 0
19 5.19 12.43 D 432 0
20 4.58 3.2 D 416 0
21 0.06 10.98 D 372 0
22 15.53 3.24 D 488 0
23 10.47 19.78 D 259 0
24 8.53 19.56 D 449 0
25 14.78 2.66 D 101 0
26 1.35 1.45 DL 0 1
27 0.18 13.55 D 552 0
28 14.76 11.07 D 495 0
29 8.12 18.63 D 48 0
30 2.36 13.82 P 0 3
