# id X Y type ready_time pair_id
1 18.27 12.88 D 783 0
2 3.84 10.96 D 773 0
3 7.93 19.55 D 355 0
4 8.87 19.11 D 155 0
5 14.44 15.61 D 18 0
6 5.75 15.79 D 798 0
7 13.82 9.19 D 245 0
8 16.84 6.99 D 826 0
9 9.3 6.7 D 29 0
10 1.94 12.34 D 493 0
11 2.81 6.19 D 265 0
12 6.04 18.3 DL 0 5
13 2.07 8.89 D 69 0
14 16.88 5.93 D 1014 0
15 0.57 9.81 D 362 0
16 8.57 9.99 D 669 0
17 9.52 10.38 DL 0 2
18 19.88 10.72 D 1076 0
19 9.03 7.97 D 535 0
20 4.22 4.93 DL 0 6
21 18.92 0.49 D 135 0
22 11.84 8.45 D 262 0
23 9.01 17.82 D 562 0
24 4.38 9.04 DL 0 3
25 13.0 15.89 DL 0 7
26 16.83 15.18 D 803 0
27 0.88 4.33 P 0 5
28 12.48 14.55 D 1055 0
29 0.26 3.85 D 729 0
30 3.08 3.65 D 1062 0
31 19.02 5.95 P 0 6
32 7.81 19.54 D 213 0
33 8.69 13.79 D 1105 0
34 2.71 13.73 P 0 7
35 0.67 1.11 P 0 1
36 4.85 18.78 DL 0 8
37 6.25 13.37 D 429 0
38 4.8 8.71 P 0 2
39 14.98 14.37 D 162 0
40 4.88 5.99 D 1010 0
41 16.13 10.67 D 530 0
42 1.11 19.74 D 307 0
43 2.89 6.02 D 569 0
44 2.0 12.52 D 802 0
45 0.21 8.49 D 11 0
46 9.05 6.34 D 260 0
47 3.63 14.06 P 0 3
48 10.31 12.65 D 905 0
49 8.72 2.35 D 514 0
50 1.15 5.22 D 707 0
51 8.43 2.24 D 326 0
52 4.39 10.49 D 833 0
53 19.43 18.41 D 409 0
54 15.73 5.27 D 1064 0
55 7.19 13.2 DL 0 4
56 9.95 8.6 D 731 0
57 14.57 12.65 D 158 0
58 8.04 11.1 D 96 0
59 18.9 10.26 D 1043 0
60 6.58 3.36 D 696 0
61 8.56 17.59 D 73 0
62 6.37 2.77 P 0 4
63 1.38 16.94 D 275 0
64 9.64 17.3 D 913 0
65 4.94 8.01 P 0 8
66 2.6 4.41 D 603 0
67 1.06 7.92 D 944 0
68 3.06 3.24 D 716 0
69 5.57 1.85 DL 0 1
70 11.72 19.06 D 627 0
71 8.64 10.24 D 374 0
72 0.32 0.59 D 156 0
73 0.27 17.71 D 893 0
74 19.52 12.53 D 318 0
75 11.19 18.67 D 591 0
