# id X Y type ready_time pair_id
1 5.63 18.81 D 122 0
2 10.31 4.8 D 104 0
3 10.77 7.06 D 85 0
4 11.22 7.92 DL 0 2
5 15.38 7.96 D 144 0
6 12.12 5.29 P 0 4
7 15.49 17.7 D 103 0
8 13.66 9.88 D 145 0
9 4.65 9.13 P 0 7
10 7.79 6.5 D 68 0
11 8.44 9.64 DL 0 4
12 8.44 15.4 DL 0 7
13 11.03 18.41 DL 0 8
14 11.54 3.95 D 133 0
15 14.45 13.39 D 107 0
16 13.62 17.32 D 101 0
17 2.43 19.42 D 56 0
18 19.65 2.14 D 133 0
19 16.98 19.5 P 0 1
20 7.59 1.26 D 146 0
21 18.37 13.39 D 107 0
22 9.51 2.24 D 41 0
23 6.82 19.73 DL 0 3
24 17.57 7.22 D 158 0
25 17.63 1.12 DL 0 5
26 6.66 17.82 D 173 0
27 0.76 5.07 D 162 0
28 5.06 14.99 P 0 6
29 0.45 18.01 D 175 0
30 19.32 0.97 D 87 0
31 0.7 4.41 P 0 3
32 10.45 17.97 D 61 0
33 18.6 8.58 D 164 0
34 4.61 6.59 D 21 0
35 9.04 12.74 D 88 0
36 3.38 15.97 D 187 0
37 11.29 11.82 D 38 0
38 16.26 7.23 D 157 0
39 1.11 2.69 D 5 0
40 11.23 1.64 D 56 0
41 10.36 13.6 D 76 0
42 7.92 16.29 D 68 0
43 0.09 18.18 D 43 0
44 2.29 0.92 D 141 0
45 2.84 7.56 P 0 8
46 11.82 1.94 D 68 0
47 5.44 14.12 D 132 0
48 5.86 12.38 D 134 0
49 4.05 10.77 D 84 0
50 16.99 19.44 D 152 0
51 10.35 10.88 D 75 0
52 16.12 15.73 P 0 2
53 19.54 5.52 D 175 0
54 16.73 14.48 D 106 0
55 8.9 17.42 D 67 0
56 11.63 4.3 D 83 0
57 18.99 3.47 D 158 0
58 19.47 14.98 D 115 0
59 18.77 1.89 D 18 0
60 7.6 1.89 DL 0 1
61 10.37 13.66 DL 0 6
62 2.88 14.13 D 120 0
63 10.07 13.54 D 51 0
64 2.77 8.77 D 148 0
65 7.37 0.53 D 156 0
66 15.25 12.01 D 117 0
67 16.1 4.74 D 31 0
68 7.85 7.18 D 59 0
69 8.58 3.4 D 63 0
70 13.99 8.6 D 78 0
71 6.59 6.97 D 146 0
72 7.5 1.16 D 36 0
73 11.4 13.66 P 0 5
74 15.36 5.54 D 9 0
75 9.36 19.6 D 3 0
