# id X Y type ready_time pair_id
1 3.67 4.53 D 471 0
2 12.83 1.79 DL 0 2
3 1.02 2.74 D 375 0
4 11.8 14.62 D 549 0
5 7.38 19.39 D 435 0
6 19.06 10.66 D 637 0
7 2.57 18.34 P 0 9
8 18.87 4.24 D 479 0
9 15.44 6.28 D 13 0
10 1.02 10.27 D 196 0
11 10.01 2.9 D 500 0
12 4.23 8.01 D 276 0
13 9.23 8.78 P 0 7
14 6.66 10.88 D 156 0
15 19.73 16.46 D 288 0
16 7.26 14.73 D 462 0
17 5.86 14.29 D 111 0
18 16.81 4.21 D 553 0
19 11.1 7.68 D 19 0
20 8.16 4.37 D 306 0
21 1.67 7.75 P 0 3
22 1.26 13.09 D 392 0
23 7.87 13.62 D 120 0
24 0.74 18.66 D 174 0
25 6.71 1.06 D 115 0
26 1.16 16.72 D 458 0
27 1.57 7.94 D 102 0
28 8.07 10.46 DL 0 5
29 13.46 14.64 D 324 0
30 12.19 9.26 D 521 0
31 2.51 16.21 D 316 0
32 17.94 12.09 D 367 0
33 7.82 12.51 P 0 1
34 7.89 14.09 D 358 0
35 9.23 2.2 D 216 0
36 0.25 7.57 D 210 0
37 15.82 17.04 P 0 10
38 7.73 1.61 P 0 5
39 11.88 14.06 D 258 0
40 13.1 18.97 D 15 0
41 4.04 14.89 D 457 0
42 19.24 2.86 D 342 0
43 10.48 4.01 D 615 0
44 9.59 1.87 D 103 0
45 17.02 10.33 D 302 0
46 8.77 16.84 D 646 0
47 13.63 0.67 D 345 0
48 2.38 10.01 D 456 0
49 19.92 7.36 D 276 0
50 0.24 13.81 D 224 0
51 8.32 17.54 D 88 0
52 7.75 14.26 D 37 0
53 19.52 6.87 D 279 0
54 6.39 2.4 D 444 0
55 16.71 6.69 D 97 0
56 16.39 5.94 D 24 0
57 1.86 10.28 D 69 0
58 1.95 12.94 D 382 0
59 0.47 11.38 D 147 0
60 2.61 19.58 D 286 0
61 9.68 5.88 P 0 8
62 13.2 14.68 DL 0 9
63 18.32 16.49 D 227 0
64 9.08 15.25 D 317 0
65 7.85 19.24 DL 0 10
66 3.43 9.41 P 0 2
67 7.67 0.53 DL 0 6
68 9.08 5.39 P 0 6
69 10.06 14.08 D 564 0
70 18.57 9.15 DL 0 4
71 5.87 18.09 D 646 0
72 12.98 16.44 D 532 0
73 4.85 14.76 D 583 0
74 2.68 10.37 D 552 0
75 11.9 6.6 D 390 0
76 11.26 0.11 DL 0 1
77 4.33 6.98 D 404 0
78 17.62 2.46 P 0 4
79 14.1 16.13 D 136 0
80 10.71 14.59 D 19 0
81 3.69 17.69 D 486 0
82 6.3 12.84 D 400 0
83 14.78 6.18 DL 0 8
84 5.9 0.63 D 160 0
85 4.7 0.89 D 351 0
86 4.14 16.52 D 179 0
87 7.23 18.16 D 346 0
88 12.91 2.55 DL 0 3
89 1.55 0.33 D 352 0
90 8.0 2.45 D 455 0
91 6.03 17.49 D 423 0
92 17.15 9.45 D 514 0
93 11.95 5.66 DL 0 7
94 17.2 14.45 D 366 0
95 16.2 4.1 D 69 0
96 12.39 16.43 D 441 0
97 2.05 3.26 D 141 0
98 5.95 9.17 D 214 0
99 12.0 15.15 D 602 0
100 12.73 11.16 D 292 0
