# id X Y type ready_time pair_id
1 0.97 14.11 D 17 0
2 17.01 14.56 D 166 0
3 2.04 6.89 P 0 3
4 5.63 12.1 D 182 0
5 12.55 11.16 D 604 0
6 9.14 0.73 D 298 0
7 7.36 5.14 D 272 0
8 2.41 16.03 D 262 0
9 1.78 8.47 D 411 0
10 13.36 19.37 D 124 0
11 8.03 9.82 D 498 0
12 0.57 12.04 D 267 0
13 16.53 14.08 D 43 0
14 10.85 6.3 D 580 0
15 16.51 3.18 D 453 0
16 3.33 8.48 D 385 0
17 3.16 2.16 D 190 0
18 19.46 19.53 D 97 0
19 17.0 9.94 D 511 0
20 7.31 9.39 D 280 0
21 5.42 12.78 D 461 0
22 12.8 12.62 D 256 0
23 5.63 8.02 D 136 0
24 10.65 5.13 D 28 0
25 4.2 5.09 D 363 0
26 3.44 14.44 D 0 0
27 8.68 1.51 P 0 4
28 8.24 8.87 DL 0 5
29 13.85 12.9 DL 0 3
30 17.57 5.6 D 432 0
31 17.15 7.2 D 489 0
32 3.61 11.56 D 154 0
33 15.7 16.35 D 498 0
34 12.8 6.42 D 142 0
35 0.78 11.09 D 84 0
36 11.94 13.02 D 383 0
37 14.68 8.55 P 0 2
38 16.07 16.61 D 18 0
39 9.76 16.2 D 164 0
40 13.48 11.55 DL 0 4
41 9.46 1.06 D 573 0
42 3.86 11.82 D 484 0
43 17.41 7.89 D 451 0
44 2.05 19.8 P 0 5
45 12.09 16.96 D 68 0
46 11.31 6.95 P 0 1
47 1.83 8.11 D 6 0
48 17.99 19.38 DL 0 2
49 17.65 5.41 DL 0 1
50 2.47 1.51 D 9 0
