# id X Y type ready_time pair_id
1 19.9 9.24 P 0 2
2 11.03 8.34 P 0 4
3 4.64 19.45 D 34 0
4 1.73 15.37 DL 0 4
5 16.74 11.16 P 0 3
6 9.84 18.15 D 536 0
7 17.93 0.2 D 228 0
8 14.23 10.01 D 304 0
9 17.07 10.65 D 203 0
10 12.32 1.19 D 194 0
11 17.44 5.92 D 9 0
12 19.7 12.3 D 290 0
13 18.05 4.42 D 79 0
14 4.49 16.18 D 178 0
15 13.75 1.43 D 488 0
16 2.01 9.65 D 563 0
17 9.58 13.55 D 330 0
18 6.2 4.12 D 414 0
19 0.59 7.65 D 272 0
20 0.34 12.54 DL 0 1
21 9.97 12.41 D 524 0
22 11.56 19.0 D 83 0
23 5.5 17.09 D 470 0
24 11.18 6.75 D 496 0
25 7.34 19.77 P 0 1
26 16.06 10.94 D 348 0
27 18.36 15.16 D 126 0
28 14.82 12.53 DL 0 2
29 12.47 10.67 DL 0 3
30 7.32 2.09 D 154 0
31 6.16 8.72 D 526 0
32 5.78 13.4 D 24 0
33 13.65 13.16 D 278 0
34 1.37 0.2 D 342 0
35 7.02 8.09 D 197 0
36 11.73 2.07 D 300 0
37 9.48 18.51 D 483 0
38 11.45 19.99 D 528 0
39 1.79 13.98 D 170 0
40 10.21 16.03 D 322 0
