0	0	0	D	0	0
1	18.37	2.63	D	468	0
2	13.96	2.79	D	457	0
3	0.91	9.31	D	514	0
4	3.06	5.18	D	52	0
5	5.41	16.58	D	295	0
6	16.91	15.85	D	437	0
7	13.41	10.67	D	448	0
8	0.89	11.44	D	427	0
9	9.49	2.17	D	192	0
10	16.84	18.84	D	526	0
11	18.47	5.96	D	184	0
12	17.14	3.61	D	701	0
13	11.50	5.49	D	445	0
14	5.79	12.34	D	175	0
15	2.31	5.80	D	115	0
16	11.46	15.52	D	718	0
17	10.42	19.11	D	84	0
18	12.42	10.09	D	587	0
19	9.01	17.87	D	69	0
20	5.11	14.39	D	126	0
21	1.55	10.64	D	591	0
22	14.54	1.78	D	351	0
23	3.86	8.43	D	372	0
24	7.62	14.13	D	676	0
25	5.73	11.23	D	71	0
26	8.43	11.27	D	666	0
27	9.93	17.44	D	38	0
28	8.20	8.46	D	430	0
29	15.39	2.71	D	527	0
30	12.31	10.29	D	505	0
31	6.14	8.72	D	259	0
32	11.53	6.44	D	660	0
33	7.88	7.36	D	273	0
34	5.45	12.60	D	370	0
35	19.92	1.48	D	580	0
36	2.17	17.84	D	244	0
37	2.05	9.00	D	146	0
38	10.35	18.88	D	415	0
39	12.76	14.50	D	101	0
40	7.26	1.22	D	592	0
41	18.54	19.30	D	501	0
42	9.49	7.21	D	481	0
43	1.81	19.27	D	206	0
44	11.79	11.94	D	468	0
45	9.76	8.16	D	422	0
46	14.01	9.36	D	134	0
47	5.71	3.50	D	575	0
48	5.98	12.94	D	40	0
49	9.92	1.90	D	4	0
50	5.93	17.97	D	511	0
