0	0	0	D	0	0
1	16.39	17.08	D	205	0
2	17.85	5.57	D	481	0
3	11.88	0.66	D	286	0
4	10.23	16.68	D	352	0
5	18.62	7.64	D	170	0
6	2.95	0.95	D	7	0
7	2.75	18.67	D	311	0
8	0.24	9.56	D	42	0
9	12.68	4.26	D	470	0
10	18.71	15.44	D	296	0
11	19.59	11.73	D	70	0
12	11.66	15.32	D	424	0
13	17.18	16.15	D	457	0
14	0.31	17.39	D	424	0
15	18.79	7.01	D	4	0
16	19.42	4.83	D	259	0
17	17.65	14.26	D	319	0
18	12.90	10.34	D	139	0
19	9.71	0.64	D	20	0
20	18.88	2.80	D	332	0
21	17.23	0.80	D	126	0
22	2.96	13.53	D	495	0
23	16.52	11.75	D	94	0
24	13.56	16.72	D	433	0
25	2.93	14.39	D	232	0
26	3.68	6.14	D	81	0
27	2.81	10.97	D	458	0
28	9.89	18.84	D	412	0
29	3.15	19.76	D	416	0
30	1.27	5.11	D	179	0
