# id X Y type ready_time pair_id
1 3.67 4.53 D 195 0
2 12.83 1.79 D 87 0
3 1.02 2.74 D 127 0
4 11.8 14.62 D 201 0
5 7.38 19.39 D 10 0
6 19.06 10.66 P 0 1
7 2.57 18.34 D 50 0
8 18.87 4.24 DL 0 10
9 15.44 6.28 D 31 0
10 1.02 10.27 D 84 0
11 10.01 2.9 D 97 0
12 4.23 8.01 D 108 0
13 9.23 8.78 D 154 0
14 6.66 10.88 D 34 0
15 19.73 16.46 D 122 0
16 7.26 14.73 DL 0 1
17 5.86 14.29 D 14 0
18 16.81 4.21 D 172 0
19 11.1 7.68 D 30 0
20 8.16 4.37 D 4 0
21 1.67 7.75 D 87 0
22 1.26 13.09 D 89 0
23 7.87 13.62 D 54 0
24 0.74 18.66 D 187 0
25 6.71 1.06 DL 0 6
26 1.16 16.72 D 155 0
27 1.57 7.94 P 0 4
28 8.07 10.46 D 94 0
29 13.46 14.64 D 90 0
30 12.19 9.26 D 176 0
31 2.51 16.21 D 123 0
32 17.94 12.09 D 189 0
33 7.82 12.51 D 47 0
34 7.89 14.09 D 140 0
35 9.23 2.2 P 0 8
36 0.25 7.57 D 134 0
37 15.82 17.04 D 138 0
38 7.73 1.61 D 195 0
39 11.88 14.06 D 121 0
40 13.1 18.97 P 0 6
41 4.04 14.89 P 0 7
42 19.24 2.86 D 176 0
43 10.48 4.01 D 192 0
44 9.59 1.87 P 0 10
45 17.02 10.33 DL 0 9
46 8.77 16.84 DL 0 3
47 13.63 0.67 D 123 0
48 2.38 10.01 D 33 0
49 19.92 7.36 D 45 0
50 0.24 13.81 D 156 0
51 8.32 17.54 D 202 0
52 7.75 14.26 D 127 0
53 19.52 6.87 P 0 5
54 6.39 2.4 D 174 0
55 16.71 6.69 DL 0 7
56 16.39 5.94 D 148 0
57 1.86 10.28 D 98 0
58 1.95 12.94 D 209 0
59 0.47 11.38 D 147 0
60 2.61 19.58 D 47 0
61 9.68 5.88 DL 0 8
62 13.2 14.68 D 153 0
63 18.32 16.49 D 116 0
64 9.08 15.25 D 136 0
65 7.85 19.24 D 55 0
66 3.43 9.41 D 140 0
67 7.67 0.53 DL 0 5
68 9.08 5.39 D 68 0
69 10.06 14.08 D 124 0
70 18.57 9.15 D 195 0
71 5.87 18.09 D 111 0
72 12.98 16.44 D 43 0
73 4.85 14.76 D 28 0
74 2.68 10.37 D 189 0
75 11.9 6.6 D 96 0
76 11.26 0.11 D 176 0
77 4.33 6.98 D 213 0
78 17.62 2.46 DL 0 4
79 14.1 16.13 D 37 0
80 10.71 14.59 DL 0 2
81 3.69 17.69 D 49 0
82 6.3 12.84 D 64 0
83 14.78 6.18 D 56 0
84 5.9 0.63 D 131 0
85 4.7 0.89 D 152 0
86 4.14 16.52 D 172 0
87 7.23 18.16 D 111 0
88 12.91 2.55 P 0 9
89 1.55 0.33 D 158 0
90 8.0 2.45 D 143 0
91 6.03 17.49 D 79 0
92 17.15 9.45 P 0 3
93 11.95 5.66 D 139 0
94 17.2 14.45 D 18 0
95 16.2 4.1 D 120 0
96 12.39 16.43 P 0 2
97 2.05 3.26 D 10 0
98 5.95 9.17 D 141 0
99 12.0 15.15 D 191 0
100 12.73 11.16 D 144 0
