# id X Y type ready_time pair_id
1 0.73 6.07 D 247 0
2 12.85 7.9 D 116 0
3 0.33 11.74 D 45 0
4 7.27 12.74 P 0 1
5 19.42 17.93 D 17 0
6 8.96 8.08 D 176 0
7 9.48 11.1 D 282 0
8 7.54 12.96 D 87 0
9 1.49 5.16 D 277 0
10 5.58 10.12 P 0 3
11 17.89 14.04 D 313 0
12 0.84 13.72 D 261 0
13 19.45 15.83 D 98 0
14 17.02 17.69 D 198 0
15 2.89 5.5 D 216 0
16 9.56 11.71 D 287 0
17 14.99 8.48 P 0 2
18 3.16 19.63 D 110 0
19 5.19 12.43 D 212 0
20 4.58 3.2 D 323 0
21 0.06 10.98 DL 0 2
22 15.53 3.24 D 170 0
23 10.47 19.78 D 98 0
24 8.53 19.56 D 117 0
25 14.78 2.66 DL 0 1
26 1.35 1.45 D 144 0
27 0.18 13.55 D 151 0
28 14.76 11.07 DL 0 3
29 8.12 18.63 D 73 0
30 2.36 13.82 D 40 0
