# id X Y type ready_time pair_id
1 7.36 14.85 D 474 0
2 16.73 18.43 DL 0 1
3 4.7 8.47 D 179 0
4 2.38 5.69 D 588 0
5 7.74 18.37 D 341 0
6 2.83 19.95 D 141 0
7 10.5 7.74 D 577 0
8 19.92 19.37 D 62 0
9 8.91 4.03 D 338 0
10 15.89 6.86 P 0 3
11 2.49 12.0 D 411 0
12 4.18 11.1 D 491 0
13 13.36 16.07 D 266 0
14 18.98 6.06 D 143 0
15 5.55 15.85 D 102 0
16 10.54 6.0 D 572 0
17 5.05 0.7 D 293 0
18 11.77 8.65 DL 0 4
19 4.58 2.53 D 291 0
20 15.04 14.63 P 0 4
21 6.2 9.36 D 513 0
22 7.78 7.91 D 60 0
23 9.59 16.49 D 76 0
24 0.32 18.98 D 485 0
25 14.0 17.15 D 149 0
26 0.1 10.2 D 294 0
27 8.03 9.74 D 129 0
28 2.77 0.91 DL 0 3
29 12.96 5.03 D 417 0
30 2.35 9.11 D 527 0
31 2.33 13.44 D 85 0
32 10.38 5.67 P 0 2
33 3.6 19.79 D 139 0
34 17.01 17.7 D 366 0
35 16.08 10.95 P 0 1
36 5.74 17.96 D 639 0
37 13.14 10.52 D 528 0
38 7.97 19.08 D 53 0
39 16.99 13.67 D 417 0
40 13.59 13.21 DL 0 2
