# id X Y type ready_time pair_id
1 15.73 13.88 DL 0 3
2 12.97 8.2 D 107 0
3 4.35 15.77 D 464 0
4 10.15 14.91 D 219 0
5 6.13 13.67 D 215 0
6 4.39 19.66 D 367 0
7 16.71 19.72 D 516 0
8 16.42 0.54 D 379 0
9 11.54 13.37 D 547 0
10 13.38 19.2 D 282 0
11 11.33 15.05 D 244 0
12 17.98 10.79 D 239 0
13 15.4 1.0 D 174 0
14 0.05 10.32 P 0 2
15 3.16 16.78 DL 0 2
16 17.36 9.15 D 32 0
17 6.87 14.47 D 391 0
18 16.66 15.33 D 562 0
19 7.44 16.46 D 246 0
20 3.71 12.59 D 83 0
21 18.98 17.36 D 142 0
22 6.36 13.99 D 243 0
23 7.47 14.85 D 420 0
24 4.03 8.37 P 0 3
25 14.47 10.07 D 140 0
26 3.07 0.45 P 0 1
27 7.45 18.73 DL 0 1
28 18.47 8.64 D 516 0
29 15.14 5.14 D 53 0
30 19.51 8.64 D 123 0
