# id X Y type ready_time pair_id
1 16.6 19.91 D 12 0
2 1.35 1.65 P 0 4
3 18.06 19.92 D 43 0
4 16.62 2.38 D 26 0
5 9.35 6.01 P 0 3
6 13.97 2.12 DL 0 4
7 12.14 5.17 D 88 0
8 11.34 12.12 D 30 0
9 14.77 18.43 DL 0 1
10 10.15 5.4 D 83 0
11 19.92 17.68 DL 0 2
12 2.93 1.08 D 102 0
13 4.24 7.93 D 75 0
14 0.28 10.6 D 10 0
15 10.3 4.59 D 27 0
16 2.81 0.31 D 20 0
17 11.32 19.86 P 0 2
18 5.01 2.09 P 0 1
19 15.45 8.04 DL 0 3
20 13.68 2.44 D 100 0
21 7.6 5.56 D 116 0
22 16.04 18.96 D 75 0
23 4.34 18.34 D 46 0
24 19.57 13.09 D 38 0
25 19.89 16.41 D 101 0
26 9.21 7.75 D 133 0
27 10.0 13.67 D 54 0
28 6.13 19.84 D 6 0
29 14.44 19.47 D 94 0
30 6.74 18.32 D 103 0
31 18.42 7.6 D 15 0
32 10.46 1.39 D 40 0
33 18.92 18.49 D 133 0
34 10.78 8.19 D 76 0
35 12.46 10.74 D 98 0
36 4.97 4.52 D 96 0
37 17.8 9.07 D 59 0
38 15.04 5.25 D 78 0
39 8.92 17.92 D 25 0
40 4.83 1.35 D 30 0
