# id X Y type ready_time pair_id
1 14.0 14.63 D 78 0
2 16.84 15.14 D 66 0
3 17.01 13.07 D 638 0
4 11.04 7.58 P 0 1
5 12.49 19.24 DL 0 1
6 15.96 16.97 D 11 0
7 19.98 15.44 D 444 0
8 1.15 3.84 D 96 0
9 8.29 19.59 D 618 0
10 13.53 12.74 D 153 0
11 2.16 14.51 D 589 0
12 1.18 5.11 D 477 0
13 9.52 16.78 D 6 0
14 12.48 8.12 D 436 0
15 16.84 1.33 D 718 0
16 17.67 3.92 D 635 0
17 7.89 9.73 DL 0 3
18 7.74 9.02 D 681 0
19 14.42 13.51 D 718 0
20 9.4 19.21 DL 0 2
21 6.62 17.36 D 161 0
22 14.45 1.85 D 506 0
23 15.88 11.21 D 689 0
24 16.48 4.48 D 387 0
25 12.57 15.13 D 60 0
26 19.01 16.34 P 0 2
27 17.63 6.49 D 568 0
28 4.97 7.69 D 26 0
29 8.41 14.86 D 685 0
30 19.67 0.75 D 143 0
31 6.14 17.03 D 560 0
32 16.61 15.61 D 175 0
33 5.57 1.6 D 642 0
34 8.96 4.69 DL 0 4
35 5.55 0.91 D 112 0
36 18.04 0.11 D 593 0
37 3.49 6.48 P 0 4
38 14.63 9.61 D 482 0
39 6.32 13.42 P 0 3
40 9.01 9.09 D 338 0
