# id X Y type ready_time pair_id
1 7.44 15.78 D 590 0
2 7.19 7.92 P 0 4
3 6.07 13.31 D 625 0
4 5.06 13.54 D 689 0
5 16.43 17.05 D 475 0
6 9.48 2.04 D 54 0
7 5.78 9.79 D 316 0
8 19.25 6.61 D 197 0
9 19.83 9.17 D 80 0
10 1.02 17.37 D 245 0
11 9.66 6.79 D 712 0
12 14.27 7.54 D 464 0
13 10.38 13.82 D 355 0
14 7.44 18.27 D 52 0
15 0.56 12.99 D 482 0
16 18.43 15.45 D 375 0
17 9.06 19.31 D 33 0
18 11.29 7.31 DL 0 2
19 19.77 4.73 D 338 0
20 14.25 7.27 D 533 0
21 13.29 5.68 D 328 0
22 13.88 3.02 D 699 0
23 19.84 6.58 DL 0 1
24 5.21 9.78 D 632 0
25 17.62 17.3 D 322 0
26 18.02 3.3 DL 0 4
27 17.01 18.17 D 169 0
28 16.23 6.78 D 366 0
29 2.5 11.87 P 0 1
30 18.62 4.34 D 385 0
31 1.52 18.84 D 477 0
32 17.33 13.66 D 653 0
33 11.94 19.64 P 0 2
34 13.03 10.3 D 607 0
35 8.98 6.14 P 0 3
36 4.95 17.15 D 290 0
37 5.62 11.66 D 524 0
38 8.16 13.78 D 327 0
39 1.02 9.74 DL 0 3
40 0.34 2.72 D 58 0
