# id X Y type ready_time pair_id
1 11.17 2.61 D 488 0
2 14.76 18.66 DL 0 1
3 4.05 12.71 DL 0 2
4 10.29 0.03 D 97 0
5 16.81 10.29 D 441 0
6 2.61 3.29 D 453 0
7 6.52 10.29 D 549 0
8 11.84 5.81 D 52 0
9 2.12 3.46 D 740 0
10 12.47 4.38 D 635 0
11 13.29 14.64 D 361 0
12 0.91 15.99 D 849 0
13 14.07 18.86 D 540 0
14 8.01 17.22 D 633 0
15 6.85 7.35 D 156 0
16 16.69 17.29 P 0 4
17 10.54 17.35 D 422 0
18 3.23 15.66 DL 0 3
19 0.01 13.01 D 10 0
20 14.39 10.37 P 0 1
21 12.89 8.13 D 867 0
22 2.01 19.96 D 153 0
23 14.88 15.72 D 469 0
24 1.6 18.9 P 0 3
25 14.58 14.23 D 731 0
26 2.38 3.94 D 4 0
27 5.2 15.81 D 72 0
28 12.1 7.32 P 0 2
29 1.82 8.12 D 57 0
30 12.27 11.53 D 765 0
31 0.32 17.81 D 6 0
32 6.61 19.93 D 476 0
33 6.67 11.3 D 617 0
34 8.88 17.74 DL 0 4
35 13.96 6.36 D 787 0
36 14.96 18.73 D 826 0
37 18.48 16.69 D 93 0
38 18.45 14.14 D 603 0
39 5.95 10.97 D 824 0
40 19.03 2.83 D 282 0
