# id X Y type ready_time pair_id
1 16.6 19.91 D 273 0
2 1.35 1.65 D 228 0
3 18.06 19.92 D 43 0
4 16.62 2.38 D 206 0
5 9.35 6.01 D 368 0
6 13.97 2.12 D 236 0
7 12.14 5.17 D 34 0
8 11.34 12.12 D 321 0
9 14.77 18.43 D 201 0
10 10.15 5.4 P 0 4
11 19.92 17.68 D 105 0
12 2.93 1.08 D 107 0
13 4.24 7.93 D 302 0
14 0.28 10.6 D 19 0
15 10.3 4.59 DL 0 1
16 2.81 0.31 DL 0 2
17 11.32 19.86 P 0 3
18 5.01 2.09 P 0 1
19 15.45 8.04 D 114 0
20 13.68 2.44 D 341 0
21 7.6 5.56 D 182 0
22 16.04 18.96 DL 0 4
23 4.34 18.34 D 294 0
24 19.57 13.09 D 54 0
25 19.89 16.41 D 185 0
26 9.21 7.75 D 184 0
27 10.0 13.67 D 229 0
28 6.13 19.84 D 209 0
29 14.44 19.47 D 11 0
30 6.74 18.32 D 15 0
31 18.42 7.6 D 36 0
32 10.46 1.39 D 240 0
33 18.92 18.49 D 35 0
34 10.78 8.19 DL 0 3
35 12.46 10.74 D 37 0
36 4.97 4.52 P 0 2
37 17.8 9.07 D 354 0
38 15.04 5.25 D 218 0
39 8.92 17.92 D 224 0
40 4.83 1.35 D 330 0
